bathrooms,detailedType.subTypology,detailedType.typology,district,exterior,floor,has360,has3DTour,hasLift,hasPlan,hasStaging,hasVideo,highlight.groupDescription,municipality,newDevelopment,newDevelopmentFinished,numPhotos,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,propertyType,rooms,showAddress,size,status,topPlus,floor_cat,has_neighborhood,has_Discount,terraza,atico,garaje,ascensor,espaciosa,luminoso,reformado,obra_nueva,céntrico,interior,antiguo,a_reformar,sin_ascensor,okupa,oscuro,pequeño,mal_ubicado,cercano_metro,cercano_supermercado,cercano_colegio,cercano_hospital,cercano_farmacia,cercano_mall,cercano_correos,cercano_policia,cercano_cultural,gimnasio,piscina,padel,zonas_comunes,parque,score_final,distancia_al_centro,size_per_room,amenities_score,zona_cluster
1,1,2,101,1,0.0,0,0,1,0,0,0,3,2,0,0,2,0,0,28000.0,3,2,0,58.0,0,0,2,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,19,6.871195728594269,29.0,21,32
1,1,2,126,0,0.0,0,0,1,1,0,0,3,16,0,0,3,1,1,0.0,3,1,0,44.0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,17,44.31967932099275,44.0,20,4
3,5,2,15,1,3.0,0,0,1,1,0,0,0,2,0,0,4,0,0,28000.0,4,3,0,210.0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,3.9340601784684095,70.0,21,32
2,1,2,126,1,1.0,0,0,0,1,0,0,3,2,0,0,3,0,0,28000.0,3,2,0,142.0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1.3014745107077736,71.0,13,17
1,1,2,133,0,2.0,0,0,1,0,0,0,0,2,0,0,2,0,0,28000.0,3,2,0,48.0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9,2.4672801111491944,24.0,10,17
2,4,0,41,0,0.0,1,0,0,1,1,1,0,7,0,0,4,1,1,0.0,0,4,0,266.0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,10,40.94326390819092,66.5,15,1
1,8,0,63,0,0.0,0,0,0,0,0,0,3,7,0,0,2,0,0,28000.0,0,1,0,38.0,2,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,32.69824378524065,38.0,9,3
1,1,2,126,1,2.0,0,0,1,1,0,1,1,27,0,0,2,1,1,0.0,3,2,0,95.0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,16,18.02091411639476,47.5,21,31
2,1,2,126,1,8.0,0,0,1,0,0,0,0,2,0,0,4,1,1,0.0,3,2,0,107.0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0.8874287567971287,53.5,10,18
1,1,2,126,0,3.0,0,0,0,0,0,1,0,2,0,0,2,0,0,28000.0,3,2,0,40.0,2,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0.6867932104687013,20.0,9,18
